name,description,quantity
Breath Mask,Portable atmosphere filter providing breathable air for ~1 hour; no temperature or vacuum protection,1
Comlink,Short-range personal communicator; ~50km range; supports encrypted frequencies,1
Datapad,Handheld electronic data storage and retrieval device,1
Glow Rod,Portable illumination device; projects light beam up to 50m,1
Hush-About Jet Pack,Silent personal jet pack; lifts 300kg; 10 charges; 200m vertical / 500m horizontal per charge,1
Macrobinoculars,Image-magnification device; enhances vision up to 1km; +3D to search/Perception beyond 100m,1
Medpac,Emergency medical kit for field trauma treatment; single use; requires first aid roll,1
Recording Rod,Cylindrical audio-visual recorder; 15m range; stores 100 hours; reusable,1
Rocket Pack,Chemical-fuel personal rocket pack; works in vacuum; 12 charges; 70m vertical / 160m horizontal per charge,1
Sensor Pack,Handheld scanner detecting life-forms or comm signals; +1D to sensors; 300m range,1
Space Suit,Sealed suit with atmosphere / heat / food supply; 10 days survival; -2D to all DEX checks,1
Vacuum Suit,Lightweight flight suit with 10 hours atmosphere; no heating; STR/stamina check hourly in vacuum,1
Syntherope Dispenser,Dispenser of high-strength synthetic cable; supports up to 500kg,1
